Al;Si;K;Ca;Fe
5,32317576;29,504715;1,96733576;0,73698876;2,6850978
5,76356914;30,5295843;1,96972152;0,73435716;2,72521161
5,86195918;31,2831633;2,00651984;0,86018844;2,64402171
5,8411577;31,0520676;1,97072616;0,9089577;2,63004687
5,71368322;30,1276755;1,97047552;0,85624104;2,75836671
5,47983268;28,2789006;1,83157208;0,96340326;2,77160598
6,15279378;31,7855493;2,01706856;0,95443848;2,78541153
5,68548666;30,5396376;2,00677048;0,91570194;2,77828254
5,7631742;29,3138139;1,88017544;0,85286892;2,79203067
6,06988186;31,1023062;1,98428984;0,9036945;2,90818638
5,90218328;29,6855814;1,90416304;1,52865666;2,74297716
5,36685044;28,0176543;1,88846424;1,28044782;2,85472044
5,7713572;28,731048;1,913834;1,11818316;2,87497485
5,39908852;28,0277076;1,89725536;2,00253846;2,76821127
5,25988246;27,9372744;1,8981352;3,43923396;2,61793917
5,25603792;26,8420692;1,73587232;4,76539614;2,49725718
5,17549172;26,5506909;1,74679856;5,816703;2,53906884
4,87272758;25,5861042;1,71653144;6,2272581;2,4287967
5,16277328;26,2794006;1,7172844;5,16764436;2,49188247
5,29133262;26,9325024;1,71778672;5,22225312;2,43847197
5,40608866;27,243978;1,74328232;5,65460256;2,50031232
5,29438826;26,5205496;1,70686048;6,54825108;2,39824431
5,280093;26,3597805;1,70447472;4,61908632;2,56679181
5,38627208;27,0329796;1,72620136;5,19667662;2,51762544
5,16444908;26,4200724;1,699828;6,734448;2,37804633
4,97841372;25,2746286;1,70635816;5,74597416;2,56401981
5,4189051;27,5152683;1,75910592;5,19083712;2,54976183
5,37838504;27,4348884;1,79125752;4,61151996;2,60334162
5,31686652;26,8320252;1,79866752;4,60378938;2,62467216
5,55219588;28,3894218;1,83345552;4,86318252;2,6086599
5,40135624;27,4650297;1,79803936;4,46899332;2,54353869
5,2488408;26,9124051;1,82265512;4,8225549;2,61850446
5,30848654;27,3946938;1,84325232;4,3793496;2,63491272
5,53080248;27,4650297;1,81248184;4,09643424;2,67678081
5,3260354;27,1836954;1,87314296;4,36980852;2,67519681
5,40648262;26,7014067;1,83245088;3,96048762;2,80391265
5,44710166;26,5004523;1,79690888;5,12849676;2,81347407
5,37759712;26,6712654;1,83320488;3,98228196;2,85664401
5,48988846;27,2942166;1,86937504;3,7749486;2,96782101
5,8665936;28,1080875;1,83596816;3,87849186;2,95854174
5,4657344;26,2090647;1,7741776;3,18600876;3,11169969
5,73793626;27,0128823;1,74717504;2,3971377;3,28873347
6,3530264;29,2736193;1,8080868;1,8435633;3,36754737
5,99091248;28,2789006;1,78673664;1,7854998;3,36669894
5,81187726;27,2741286;1,70133496;1,95549504;3,31164801
6,1459916;28,3090419;1,7321044;1,82028792;3,3304887
6,0572624;28,0277076;1,70849328;1,1217195;3,35227167
6,0662343;28,4698017;1,72909048;1,65440532;3,46067568
6,89516142;31,4238351;1,8172544;1,05535014;3,40590789
6,62867884;30,3788685;1,75646848;1,4617926;3,40098561
6,37323694;28,9420464;1,69857168;2,4232089;3,3745635
6,1065564;28,8918078;1,75094296;0,9310815;3,45728097
6,24329776;29,1831954;1,75948344;1,07500554;3,35063025
6,39305352;31,011873;1,91571744;0,8070597;3,2536548
6,55789246;31,3735965;1,90177728;1,19162622;3,10032756
6,1361328;29,253522;1,81461696;0,96907752;3,02966037
6,5797788;31,3936938;1,90705216;0,99358608;3,17908503
6,4203622;30,6300615;1,85342456;1,23883284;3,10819212
6,23541072;30,3487272;1,8981352;0,93593364;3,08222244
6,37194867;29,48765198;1,84279943;1,07949563;3,14786365
5,854031;32,34133;1,591942;1,193579;2,878012
6,151304;33,52977;1,658239;1,199626;2,978425
6,086014;32,97877;1,726348;1,005549;3,003285
6,134;32,92475;1,714634;1,089243;3,004485
6,284096;32,2657;1,654013;1,030303;3,069693
6,178063;32,04962;1,717653;0,622315;3,214168
6,33349;32,60063;1,680339;1,027078;3,14896
6,169009;31,90917;1,704249;0,582564;3,181764
6,141143;32,85992;1,691328;0,937336;3,022487
6,09034;32,85992;1,644111;1,387171;2,984997
5,636533;31,4554;1,625997;1,050057;3,06335
6,080582;31,54184;1,703404;1,331295;3,05152
6,25633;32,39535;1,825613;0,482099;3,128443
6,236512;31,50942;1,840587;0,716249;3,397791
6,457329;32,65465;1,845055;0,870333;3,197881
6,619395;33,47575;1,870173;0,853643;3,211882
6,053923;32,13606;1,900484;0,715765;3,102097
6,076658;33,64862;1,982359;0,46557;2,875155
6,478153;35,08555;1,936954;0,798411;2,837036
6,108448;33,47575;1,937437;0,869849;2,823091
